item,value
rows,8127
bio_fetch_attempted,381
bio_fetch_success,380
bio_fetch_failed,1
filled_final_country_name,8127
filled_final_date_of_birth,8091
filled_final_date_of_death,1353
filled_standard_batting_code,7989
filled_standard_bowling_code,7942
filled_playing_role_id,8127
filled_playing_role,8127
filled_t20s_bowl_4w,4087
filled_t20s_bowl_5w,4087
filled_t20s_bowl_balls_derived,4087
filled_t20s_field_dismissals_derived,5586
bio_quality_good,7965
bio_quality_partial,161
bio_quality_error,1
game_status_active,3701
game_status_retired,3093
game_status_passed_away,1333
game_status_unknown,0
batting_style_needs_manual_review,138
bowling_style_needs_manual_review,185
