cricinfo_id,your_unique_player_id,your_final_player_name,your_country_text,espn_guid,espn_uid,espn_type,espn_name,espn_first_name,espn_middle_name,espn_last_name,espn_short_name,espn_full_name,espn_display_name,age,date_of_birth,date_of_birth_str,date_of_death,date_of_death_str,is_active,active,gender,debut_year,weight,height,jersey,birth_place_city,birth_place_state,birth_place_country,birth_place_raw,batting_style,batting_style_abbrev,bowling_style,bowling_style_abbrev,all_styles,playing_role,playing_role_id,playing_role_abbreviation,batting_name,fielding_name,country_id,country_name,major_team_ids,major_teams,current_team,current_team_source,current_team_confidence,headshot_url,flag_url,source_ref,relations_count,athlete_fetch_status
1203910,1203910,A Ahmadhel,BUL,bcc0dbfd-20ce-3394-8aba-237d6a89a062,s:200~a:1203910,cricket,Agagyul Ahmadhel,Agagyul,,Ahmadhel,Ahmadhel,Agagyul Ahmadhel,Agagyul Ahmadhel,25,2001-06-01T00:00Z,2001-06-01T00:00Z,,,True,True,M,,0,0.0,,,,,,Right-hand bat,Rhb,Right-arm medium,Rm,batting:Right-hand bat|bowling:Right-arm medium,Unknown,UKN,UKN,A Ahmadhel,Ahmadhel,63,Bulgaria,63,Bulgaria,,,none,https://a.espncdn.com/i/headshots/cricket/players/default-player-logo-500.png,https://a.espncdn.com/i/teamlogos/cricket/500/63.png,http://core.espnuk.org/v2/sports/cricket/athletes/1203910,0,fetched
1321182,1321182,A Amado,ISR,e4a746d9-7931-3456-9966-d507b9f6fab1,s:200~a:1321182,cricket,Abraham Amado,Abraham,,Amado,Amado,Abraham Amado,Abraham Amado,32,1994-06-02T00:00Z,1994-06-02T00:00Z,,,True,True,M,,0,0.0,,,,,,Right-hand bat,Rhb,Right-arm medium,Rm,batting:Right-hand bat|bowling:Right-arm medium,Unknown,UKN,UKN,A Amado,Amado,22,Israel,22,Israel,,,none,https://a.espncdn.com/i/headshots/cricket/players/default-player-logo-500.png,https://a.espncdn.com/i/teamlogos/cricket/500/22.png,http://core.espnuk.org/v2/sports/cricket/athletes/1321182,0,fetched
1540559,1540559,A Amburose,BHM,d6a31fc7-d95f-39a9-885d-8aaae88221a9,s:200~a:1540559,cricket,Ahil Amburose,Ahil,,Amburose,Amburose,Ahil Amburose,Ahil Amburose,33,1993-03-05T00:00Z,1993-03-05T00:00Z,,,True,True,M,,0,0.0,,,,,,Right-hand bat,Rhb,Right-arm medium,Rm,batting:Right-hand bat|bowling:Right-arm medium,Unknown,UKN,UKN,A Amburose,Amburose,60,Bahamas,60,Bahamas,,,none,https://a.espncdn.com/i/headshots/cricket/players/default-player-logo-500.png,https://a.espncdn.com/i/teamlogos/cricket/500/60.png,http://core.espnuk.org/v2/sports/cricket/athletes/1540559,0,fetched
1135751,1135751,A Andrews,SUI,e88c290d-166a-e70a-32eb-5ab97aa47180,s:200~a:1135751,cricket,Aidan Andrews,Aidan,,Andrews,Andrews,Aidan Andrews,Aidan Andrews,28,1998-06-02T00:00Z,1998-06-02T00:00Z,,,True,True,M,,0,0.0,,,,,,Right-hand bat,Rhb,Right-arm medium,Rm,batting:Right-hand bat|bowling:Right-arm medium,Unknown,UKN,UKN,A Andrews,Andrews,154,Switzerland,154,Switzerland,,,none,https://a.espncdn.com/i/headshots/cricket/players/default-player-logo-500.png,https://a.espncdn.com/i/teamlogos/cricket/500/154.png,http://core.espnuk.org/v2/sports/cricket/athletes/1135751,0,fetched
1203917,1203917,A Anemogiannis,GRC,768e6391-1814-373a-9c2e-993e55d6d2e4,s:200~a:1203917,cricket,Alexandros Anemogiannis,Alexandros,,Anemogiannis,,Alexandros Anemogiannis,Alexandros Anemogiannis,52,1974-02-20T00:00Z,1974-02-20T00:00Z,,,True,True,M,,0,0.0,,,,,,Right-hand bat,Rhb,Right-arm medium,Rm,batting:Right-hand bat|bowling:Right-arm medium,Unknown,UKN,UKN,A Anemogiannis,Anemogiannis,86,Greece,86,Greece,,,none,https://a.espncdn.com/i/headshots/cricket/players/default-player-logo-500.png,https://a.espncdn.com/i/teamlogos/cricket/500/86.png,http://core.espnuk.org/v2/sports/cricket/athletes/1203917,0,fetched
1193546,1193546,A Ashok,NZ,7cc552c3-1c6b-172a-05db-05ecfff96a39,s:200~a:1193546,cricket,Adithya Ashok,Adithya,,Ashok,Ashok,Adithya Ashok,Adithya Ashok,23,2002-09-05T00:00Z,2002-09-05T00:00Z,,,True,True,M,,0,0.0,,,,,,Right-hand bat,Rhb,Legbreak googly,Lbg,batting:Right-hand bat|bowling:Legbreak googly,Bowler,BL,BL,A Ashok,Ashok,5,New Zealand,5|2459|2560,New Zealand|Auckland|New Zealand Under-19s,,,none,https://a.espncdn.com/i/headshots/cricket/players/default-player-logo-500.png,https://a.espncdn.com/i/teamlogos/cricket/500/5.png,http://core.espnuk.org/v2/sports/cricket/athletes/1193546,0,fetched
1156472,1156472,A Ashokan,CZK-R,94abb57b-644b-edbb-3a26-eab03e89ddf9,s:200~a:1156472,cricket,Arun Ashokan,Arun,,Ashokan,Ashokan,Arun Ashokan,Arun Ashokan,33,1993-02-27T00:00Z,1993-02-27T00:00Z,,,True,True,M,,0,0.0,,,,,,Right-hand bat,Rhb,Right-arm medium,Rm,batting:Right-hand bat|bowling:Right-arm medium,Unknown,UKN,UKN,A Ashokan,Ashokan,75,Czech Republic,75,Czech Republic,,,none,https://a.espncdn.com/i/headshots/cricket/players/default-player-logo-500.png,https://a.espncdn.com/i/teamlogos/cricket/500/75.png,http://core.espnuk.org/v2/sports/cricket/athletes/1156472,0,fetched
1203922,1203922,A Aspiotis,GRC,e776d82a-88f7-36b1-b34a-79826cd382d9,s:200~a:1203922,cricket,Alexandros Aspiotis,Alexandros,,Aspiotis,Aspiotis,Alexandros Aspiotis,Alexandros Aspiotis,38,1988-02-25T00:00Z,1988-02-25T00:00Z,,,True,True,M,,0,0.0,,,,,,Right-hand bat,Rhb,Right-arm medium,Rm,batting:Right-hand bat|bowling:Right-arm medium,Unknown,UKN,UKN,A Aspiotis,Aspiotis,86,Greece,86,Greece,,,none,https://a.espncdn.com/i/headshots/cricket/players/default-player-logo-500.png,https://a.espncdn.com/i/teamlogos/cricket/500/86.png,http://core.espnuk.org/v2/sports/cricket/athletes/1203922,0,fetched
1078692,1078692,A Athanaze,WI,a82b4cf3-bacc-d6ef-855f-ba4e2a50e1c4,s:200~a:1078692,cricket,Alick Athanaze,Alick,,Athanaze,Athanaze,Alick Athanaze,Alick Athanaze,27,1998-12-07T00:00Z,1998-12-07T00:00Z,,,True,True,M,,0,0.0,,,,,,Left-hand bat,Lhb,Right-arm offbreak,Ob,batting:Left-hand bat|bowling:Right-arm offbreak,Top-order batter,TBT,TBT,A Athanaze,Athanaze,4,West Indies,4|642411|857687|3800|3801|3812,West Indies|Barbados Royals|St Kitts and Nevis Patriots|West Indies A|West Indies B|West Indies Under-19s,,,none,https://a.espncdn.com/i/headshots/cricket/players/full/1078692.png,https://a.espncdn.com/i/teamlogos/cricket/500/4.png,http://core.espnuk.org/v2/sports/cricket/athletes/1078692,0,fetched
1492934,1492934,A Augastin,TAN,d9d68177-be47-3ce7-a841-b8283c08f06d,s:200~a:1492934,cricket,Ajith Augastin,Ajith,,Augastin,Augastin,Ajith Augastin,Ajith Augastin,30,1995-11-25T00:00Z,1995-11-25T00:00Z,,,True,True,M,,0,0.0,,,,,,Left-hand bat,Lhb,Right-arm medium,Rm,batting:Left-hand bat|bowling:Right-arm medium,Unknown,UKN,UKN,A Augastin,Augastin,160,Tanzania,160,Tanzania,,,none,https://a.espncdn.com/i/headshots/cricket/players/default-player-logo-500.png,https://a.espncdn.com/i/teamlogos/cricket/500/160.png,http://core.espnuk.org/v2/sports/cricket/athletes/1492934,0,fetched
