field,raw_value,count
raw_batting_style,Right-hand bat,6562
raw_batting_style,Left-hand bat,1425
raw_batting_style,(blank),138
raw_bowling_style,Right-arm medium,1843
raw_bowling_style,(blank),1444
raw_bowling_style,Right-arm offbreak,1298
raw_bowling_style,Right-arm medium-fast,737
raw_bowling_style,Right-arm fast-medium,649
raw_bowling_style,Slow left-arm orthodox,624
raw_bowling_style,Legbreak,436
raw_bowling_style,Right-arm fast,279
raw_bowling_style,Legbreak googly,239
raw_bowling_style,Left-arm medium,183
raw_bowling_style,Left-arm fast-medium,115
raw_bowling_style,Left-arm medium-fast,106
raw_bowling_style,Right-arm bowler,52
raw_bowling_style,Left-arm wrist-spin,39
raw_bowling_style,Left-arm fast,27
raw_bowling_style,Right-arm slow,24
raw_bowling_style,Right-arm slow-medium,5
raw_bowling_style,Left-arm slow,5
raw_bowling_style,Right-arm slow (underarm),5
raw_bowling_style,Left-arm bowler,5
raw_bowling_style,Right-arm fast (roundarm),4
raw_bowling_style,Left-arm slow-medium,2
raw_bowling_style,(unknown arm) slow (underarm),1
raw_bowling_style,Right-arm offbreak (underarm),1
raw_bowling_style,Right-arm slow (roundarm),1
raw_bowling_style,Left-arm fast (roundarm),1
standard_batting_style,Right Hand Bat,6562
standard_batting_style,Left Hand Bat,1425
standard_batting_style,(blank/unknown batting),138
standard_bowling_style,Right Arm Medium,1848
standard_bowling_style,(blank/no bowling),1502
standard_bowling_style,Right Arm Off Break,1329
standard_bowling_style,Right Arm Medium Fast,737
standard_bowling_style,Right Arm Fast Medium,649
standard_bowling_style,Slow Left Arm Orthodox,629
standard_bowling_style,Leg Break,436
standard_bowling_style,Right Arm Fast,283
standard_bowling_style,Leg Break Googly,239
standard_bowling_style,Left Arm Medium,185
standard_bowling_style,Left Arm Fast Medium,115
standard_bowling_style,Left Arm Medium Fast,106
standard_bowling_style,Left Arm Wrist Spin,39
standard_bowling_style,Left Arm Fast,28
